TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,"VARIATION 1 TYPE","VARIATION 1 NAME","VARIATION 1 VALUES","VARIATION 2 TYPE","VARIATION 2 NAME","VARIATION 2 VALUES",SKU
"2x jewellery lightning attack","2x 3D printed & painted jewellery hand effects (also available in blue)",15,GBP,4,"energy_effects,3D_printed,custom,accessories,toy_accessories,RDJ_custom_creations,6_inch_scale",,https://i.etsystatic.com/22049125/r/il/4d8a7a/3441280754/il_fullxfull.3441280754_cmol.jpg,https://i.etsystatic.com/22049125/r/il/4929a2/3426566273/il_fullxfull.3426566273_93ux.jpg,https://i.etsystatic.com/22049125/r/il/7a4f60/3426566373/il_fullxfull.3426566373_d1zi.jpg,,,,,,,,,,,,,,
"1x 1:12 Reset charge & time portal","1x 3D printed reset charge & 1x 3D printed time portal",7.5,GBP,12,"props,accessories,custom,action_figure,toy_prop,RDJ_custom_creations,6_inch_scale",,https://i.etsystatic.com/22049125/r/il/c2cc70/3216168511/il_fullxfull.3216168511_e96m.jpg,,,,,,,,,,,,,,,,
"Green menace open helmet (unpainted head sculpt) FIGURE NOT INCLUDED)","1x 3D printed Green menace open helmet (unpainted head sculpt) FIGURE NOT INCLUDED)",12,GBP,4,"custom_head_sculpt,head_sculpt,props,custom,toy_accessories,alternate_head,RDJ_custom_creations,action_figure,6_inch_scale,3D_printed",,https://i.etsystatic.com/22049125/r/il/134007/5721911554/il_fullxfull.5721911554_2g4i.jpg,https://i.etsystatic.com/22049125/r/il/b0052e/5769979837/il_fullxfull.5769979837_nlki.jpg,,,,,,,,,,,,,,,
"Moustache mercenary unpainted head sculpt (FIGURE NOT INCLUDED)","1x 3D printed moustache mercenary unpainted head sculpt (FIGURE NOT INCLUDED)",12,GBP,9,"head_sculpt,RDJ_custom_creations,6_inch_scale,toy_prop,action_figure,alternate,custom_made,3D_printed,toy_accessories,custom_head_sculpt,custom",,https://i.etsystatic.com/22049125/r/il/59b363/6288385683/il_fullxfull.6288385683_t8it.jpg,https://i.etsystatic.com/22049125/r/il/75f142/6288386319/il_fullxfull.6288386319_id8z.jpg,https://i.etsystatic.com/22049125/r/il/1359e0/6240333732/il_fullxfull.6240333732_1sqi.jpg,,,,,,,,,,,,,,
"Spectacular insect guy  head sculpt only (painted) ***FIGURE NOT INCLUDED***","1x 3D printed and painted spectacular insect guy head sculpt (FIGURE NOT INCLUDED)",25,GBP,4,"toy_prop,3D_printed,6_inch_scale,toy_accessories,RDJ_custom_creations,custom_made,Head_sculpt,alternate_head",,https://i.etsystatic.com/22049125/r/il/e07904/6008856415/il_fullxfull.6008856415_bdip.jpg,https://i.etsystatic.com/22049125/r/il/851d5a/6008854465/il_fullxfull.6008854465_91b9.jpg,https://i.etsystatic.com/22049125/r/il/9abd2c/6008855107/il_fullxfull.6008855107_18tg.jpg,https://i.etsystatic.com/22049125/r/il/743771/6008855529/il_fullxfull.6008855529_2gxr.jpg,,,,,,,,,,,,,
"Battle crew bar of soap 1:6 scale","3D printed 12” scale battle crew  bar of soap prop",6,GBP,3,"toy_prop,3D_printed,accessories,action_figure,toy_accessories",,https://i.etsystatic.com/22049125/r/il/90f423/3665310730/il_fullxfull.3665310730_75wn.jpg,,,,,,,,,,,,,,,,
"Hologram drone","Painted 3D printed drone",25,GBP,8,"toy_accessories,toy_props,tangible_effects,toy_prop,display_piece,accessories,action_figure,RDJ_custom_creations,6_inch_scale,miniature",,https://i.etsystatic.com/22049125/r/il/9d0fb1/3842547391/il_fullxfull.3842547391_3jbp.jpg,,,,,,,,,,,,,,,,
"Mercenary dog (painted) sculpted by the black gorilla armoury","1x painted 1:12 mercenary dog static figure (armchair not included)",25,GBP,7,,,https://i.etsystatic.com/22049125/r/il/ab2ec7/6151208121/il_fullxfull.6151208121_ro3y.jpg,https://i.etsystatic.com/22049125/r/il/56acc8/6151208019/il_fullxfull.6151208019_50f8.jpg,,,,,,,,,,,,,,,
"Mercenary toddler (painted) sculpted by the black gorilla armoury","1x painted 1:12 mercenary toddler static figure",25,GBP,11,,,https://i.etsystatic.com/22049125/r/il/2a5ed0/6151204195/il_fullxfull.6151204195_zfph.jpg,https://i.etsystatic.com/22049125/r/il/8fca88/6103115076/il_fullxfull.6103115076_6a1z.jpg,,,,,,,,,,,,,,,
"The executives throne","1x 3D printed and painted 1:12 scale executives throne (FIGURE NOT INCLUDED)",35,GBP,9,,,https://i.etsystatic.com/22049125/r/il/b201de/5875806418/il_fullxfull.5875806418_fa31.jpg,https://i.etsystatic.com/22049125/r/il/430186/5875806000/il_fullxfull.5875806000_kt88.jpg,https://i.etsystatic.com/22049125/r/il/7a4c7c/5875806160/il_fullxfull.5875806160_khc0.jpg,https://i.etsystatic.com/22049125/r/il/2730e7/5875806296/il_fullxfull.5875806296_h72j.jpg,,,,,,,,,,,,,
